month,day,hour,min,sec,pan[rad],tlt[rad],str_1[rad],str_2[rad],str_3[rad],str_4[rad],drv_1[rad],drv_2[rad],drv_3[rad],drv_4[rad]
1,1,9,35,40.6000,0.0517,1.1399,-0.0008,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,40.8000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,41.0000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,41.2000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,41.4000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,41.6000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,41.8000,0.0517,1.1399,-0.0008,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,42.0000,0.0517,1.1399,-0.0008,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,42.2000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,42.4000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,42.6000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,42.8000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,43.0000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,43.2000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,43.4000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,43.6000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,43.8000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,44.0000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,44.2000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,44.4000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,44.6000,0.0517,1.1399,-0.0006,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,44.8000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,45.0000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,45.2000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,45.4000,0.0517,1.1399,-0.0008,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,45.6000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,45.8000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,46.0000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,46.2000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,46.4000,0.0517,1.1399,-0.0007,-0.0009,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,46.6000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,46.8000,0.0517,1.1399,-0.0008,-0.0009,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,47.0000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,47.2000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,47.4000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,47.6000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,47.8000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,48.0000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,48.2000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,48.4000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,48.6000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,48.8000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,49.0000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,49.2000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
